repository,issue_number,comment_id,position_in_thread,comment_body,comment_length,author_association,user_type,created_at,updated_at,comment_url
n8n-io/n8n,34713,5045330596,1,"Hey @louisvanempel,

Thank you for reaching out! We’ve received your issue and are looking into it. To help us track this internally, we’ve created a Linear ticket with the reference: ""GHC-9051"".

We’ll keep you updated as we make progress, but if you have any additional details or context to share, feel free to add them here - it’s always helpful!

Thanks for your patience and for bringing this to our attention.

---
> For *INTERNAL* use only: [GHC-9051](https://linear.app/n8n/issue/GHC-9051)",498,CONTRIBUTOR,Bot,2026-07-22T11:39:45Z,2026-07-22T11:39:45Z,https://github.com/n8n-io/n8n/issues/34713#issuecomment-5045330596
n8n-io/n8n,34713,5048212884,2,"Hey! @louisvanempel thanks for reporting this! 

I authored the `aud` fix in #30558, and reading your analysis, I think you're spot-on that there's a mint/verify asymmetry. Before I dig into the source, a couple of quick questions:

**1. Did this ever work for you on 2.26.6?** You mentioned upgrading from there, was Instance-level MCP via OAuth already working before the upgrade, or is this the first time you've tried connecting that way?

**2. The decoded token from `oauth_access_tokens`**, you pulled that straight from Postgres, right? And just to confirm, it's `sub` only, no `userId` or `extra` claim anywhere?

**3. For the `POST /mcp-oauth/register` 500**, is that 100% reproducible when the redirect allowlist is empty? Does it also 500 if the allowlist is populated but the payload is malformed, or only on the empty allowlist case?

**4. Claude's error is pretty generic.** If you replay that authenticated request to `/mcp-server/http` manually (curl, Postman, whatever) with the minted token, what status and body does n8n actually return?

Looking forward to your reply!


Also, I think I can work on this as of now, I'll let you know. Keeping the new Contributing Guidelines in mind, I won't be opening a PR out of nowhere, and I don't want to ping any maintainer right now. So if anyone notices this, please let me know after we verify how deep the issue is. That way we can figure out whether this is something the team wants to pick up or open for community contributions.

Thanks! ",1504,CONTRIBUTOR,User,2026-07-22T15:39:01Z,2026-07-22T15:43:31Z,https://github.com/n8n-io/n8n/issues/34713#issuecomment-5048212884
n8n-io/n8n,34713,5055258847,3,"Thanks for the quick response @sinehypernova-0718! We ran another measurement round this morning and the results partially falsify my own original analysis, so an important correction first.

**New headline finding: manual replay of the minted token against the MCP endpoint succeeds.** `POST /mcp-server/http` with `Authorization: Bearer <token>`, using the exact token minted by a *failing* Claude connect attempt (pulled from `oauth_access_tokens`), returns **200** with a complete `initialize` result (`n8n MCP Server 1.1.0`, full instructions payload). So mint and verify are consistent when replayed via curl. The failure only manifests when Claude itself completes the flow: every Claude connect attempt still ends in `McpAuthorizationError` (""Your account was authorized, but the integration rejected the credentials it just issued""), 100% reproducible, on both Claude web and desktop. The asymmetry is therefore not mint-vs-verify but **curl-vs-Claude**: whatever Claude does with or after the token exchange differs from a plain initialize POST, and that is what gets rejected.

Your questions:

1. **Did this ever work on 2.26.6?** No, and 2.26.6 can't be judged either way: the instance sat behind Cloudflare Access until yesterday, which intercepted every unauthenticated request before it reached n8n (that was our first-layer problem, since fixed with path bypasses). This is the first version where the OAuth flow has actually reached n8n. 2.26.6 also only advertised read scopes.

2. **Token straight from Postgres?** Yes, `SELECT` from `oauth_access_tokens`, payload base64-decoded locally. Claims are exactly: `sub`, `aud`, `client_id`, `jti`, `iat`, `exp`, `meta:{isOAuth:true}`. No `userId`, no `extra`, no `iss`. Note: despite the sub-only shape, curl replay verifies fine, so whatever maps `sub` internally appears to work.

3. **Trace logging:** enabled (`N8N_LOG_LEVEL=trace`, confirmed active in the container). Result: nothing at all from the OAuth/MCP middleware. Not on the register 500s, not on the failing Claude attempts, and not even on a successful authenticated initialize. Those code paths appear to emit no log lines at any level.

4. **Register 500 reproducibility:** with an *empty* redirect allowlist it is 100% reproducible, both with a minimal payload (`client_name` + `redirect_uris` only) and with a full RFC 7591 payload. With a *populated* allowlist, the full payload succeeds (client_id returned), but the minimal payload (missing `grant_types`/`response_types`) still returns the same generic 500 rather than a 4xx validation error.

5. **Manual replay:** see headline, 200 plus full initialize result. We also verified it is independent of accumulated state: replay succeeds with multiple access-token rows present, and with the newest token from a just-failed Claude attempt. Data point: our connect attempts have left 10 rows in `oauth_refresh_tokens` (roughly one exchange per attempt).

**Remaining suspects**, given curl-works-but-Claude-fails: something in the request(s) Claude makes beyond a plain `POST initialize` (the streamable-HTTP `GET` listen stream, `mcp-session-id` handling, protocol-version negotiation, or an immediate refresh-token grant), or Claude rejecting the shape of the `/mcp-oauth/token` response client-side. Happy to run any probe you want against this instance (GET stream with Bearer, `tools/list` follow-up, refresh grant replay); we can reproduce on demand.

Environment unchanged from the issue: 2.31.4 Docker self-hosted, Postgres 16, single public hostname, cloudflared in front, `N8N_PROXY_HOPS=1`, no `N8N_MCP_BASE_URL`. Claude flow references for Anthropic-side correlation: ofid_8a352ef797e14fa1 (today), ofid_a60bdd30db30b192 and ofid_7f851851c1eda01b (yesterday).

Kind regards,
Louis van Empel
",3788,NONE,User,2026-07-23T06:38:20Z,2026-07-23T06:39:27Z,https://github.com/n8n-io/n8n/issues/34713#issuecomment-5055258847
n8n-io/n8n,34713,5059578167,4,"Hey @louisvanempel ! Apologies for the late reply, thanks for the follow-up, this seems interesting. The fact that curl replay works means the token itself is fine, and the rejection happens somewhere in Claude's specific request pattern.

A few questions again 🙂

**1. Can you tail your Cloudflare tunnel logs while triggering a Claude connect?** Run `cloudflared tunnel --log-level debug` and trigger the failure, we need the exact sequence of HTTP methods and paths Claude hits (any `GET /mcp-server/http`, `POST /mcp-oauth/token`, etc.) and which one returns non-200.

**2. Can you replay the refresh-token grant manually?** Using the refresh token from `oauth_refresh_tokens`, try:
```bash
curl -X POST https://<host>/mcp-oauth/token \
  -H ""Content-Type: application/x-www-form-urlencoded"" \
  -d ""grant_type=refresh_token&refresh_token=<token>&client_id=<client_id>""
```
Does this succeed or fail?

**3. Can you try a `GET /mcp-server/http` with the access token?** The MCP spec uses `GET` for SSE streaming:
```bash
curl -N https://<host>/mcp-server/http \
  -H ""Authorization: Bearer <token>"" \
  -H ""Accept: text/event-stream"" \
  -H ""Mcp-Session-Id: test-session""
```
Does this get rejected differently from `POST`?

**4. What does the `/mcp-oauth/token` response look like?** The full JSON body when exchanging the auth code, does it include `token_type`, `expires_in`, `scope`, etc.? Claude's client might be strict about the response shape.

The 10 `oauth_refresh_tokens` rows are the biggest clue, Claude might be successfully getting an access token, then immediately failing on refresh or stream setup.
",1620,CONTRIBUTOR,User,2026-07-23T14:25:11Z,2026-07-23T14:25:11Z,https://github.com/n8n-io/n8n/issues/34713#issuecomment-5059578167
n8n-io/n8n,34713,5060089239,5,"Ran all your probes. **I think we found the failing call: the `GET /mcp-server/http` listen stream hangs indefinitely.**

**3) GET with the access token (the headline):** with a freshly minted, provably valid token (obtained seconds earlier via a successful refresh grant), `GET /mcp-server/http` with `Authorization: Bearer`, `Accept: text/event-stream` and an `Mcp-Session-Id` header returns **nothing at all**: no status line, no headers, zero bytes, for the full 15s curl timeout (`HTTP_CODE:000`, curl exit 28). For comparison, a `POST initialize` with the *same* token responds immediately with 200 and an SSE event. Per the streamable-HTTP spec the server should either open the SSE stream right away (200 + headers) or return 405 if the listen stream is unsupported; an indefinite hang is neither. If Claude opens this GET stream during connect, a client-side timeout there would surface exactly as ""the integration rejected the credentials it just issued"". This is now my prime suspect.

And it's not session-related: the GET hang is identical *without* the `Mcp-Session-Id` header. Same zero-byte response, no status line or headers, `HTTP_CODE:000`, curl exit 28 after the 15s timeout. The GET handler itself never responds, regardless of session headers. Happy to test more variants on request (e.g. a session id echoed from a real initialize).

**2) Refresh grant replay:** two results.
- Without `client_secret`: 400 `invalid_client` (""Client secret is required"").
- With the secret: **200** with a fresh token pair. So the refresh path itself works.

That 400 turned out to be correct behavior, because of a side finding: this Claude-registered client has `token_endpoint_auth_method = client_secret_post` with an issued secret, i.e. a *confidential* client. Meanwhile my own DCR test client, which explicitly requested `""token_endpoint_auth_method"":""none""`, got `none`. So either Claude requests `client_secret_post`, or the register handler assigns it when the field is omitted (RFC 7591's default would be `client_secret_basic`); worth checking the handler default. Second side finding: the client secret is stored **in plaintext** in `oauth_clients` (I authenticated using the DB column value directly), which looks like a hardening candidate.

**4) Token response shape:** `{""access_token"":""..."",""token_type"":""Bearer"",""expires_in"":3600,""refresh_token"":""...""}`. No `scope` field. That's permitted by RFC 6749 §5.1 when the granted scope equals the requested one, but noting it in case Claude's client is strict about it.

**1) Tunnel logs:** probably unnecessary now that the failing call is identified, and SSE buffering by the tunnel can be ruled out since the POST SSE response passes through instantly. I can still run a cloudflared debug round if you want the exact request sequence Claude makes.

**Working theory:** DCR → consent → code exchange all succeed; Claude then opens (or attempts) the GET listen stream, which never responds; Claude times out and reports `McpAuthorizationError`. The GET handler hanging instead of returning 200 or 405 looks like the server-side bug to chase.
",3130,NONE,User,2026-07-23T15:12:02Z,2026-07-23T15:12:02Z,https://github.com/n8n-io/n8n/issues/34713#issuecomment-5060089239
n8n-io/n8n,34713,5060528470,6,"@louisvanempel thanks for the reply! This is genuinely some impressive detective work. The `GET /mcp-server/http` indefinite hang is clearly the real culprit here, not the token verification path I initially suspected.

I'm going to dig into the MCP server route handlers on my end to see why `GET` hangs while `POST` responds normally, the SSE listen stream implementation (or lack thereof) is the obvious place to look.

I'll update here once I've traced the code and let you know the findings, and then we can decide the approach. If the team likes the approach, I'll open the PR!

Let me know if you find anything else in the meantime.

Thank you!
",652,CONTRIBUTOR,User,2026-07-23T15:54:50Z,2026-07-23T16:58:33Z,https://github.com/n8n-io/n8n/issues/34713#issuecomment-5060528470
n8n-io/n8n,34713,5063917842,7,"Hii! 

I independently reproduced this on my end: `POST /mcp-server/http` with a valid token returns 200 and a full initialize result, while `GET /mcp-server/http` with the same token hangs indefinitely (curl timeout, zero bytes). This confirms your causal chain exactly. And, after going through the code I can say:

### What is happening (briefly)

The `GET` handler in `mcp.controller.ts` calls `handleTransportRequest` without a body. The SDK's `StreamableHTTPServerTransport` in stateless mode (`sessionIdGenerator: undefined`) creates a `ReadableStream` that never gets closed, and the Node server listener waits forever for `done: true` that never comes. Hence, it hangs. `POST` works because the SDK processes the body and finishes the response cycle normally.

### Approach for the fix

**Short term: return 405 Method Not Allowed** on `GET` before entering the transport. This is spec-compliant (Streamable HTTP allows servers to decline the listen stream), stops the hang immediately, and unblocks all MCP clients since they can still use `POST` for request/response.

**Long term: full SSE streaming** behind a feature flag. This would need session management, an SSE connection registry, event bridging, heartbeats, backpressure handling, and multi-instance considerations. The architecture for this is well understood, but it is a 600-1000+ line feature that needs proper design review.

Even though, I believe the full streaming implementation is solid and scalable, but I guess the team would like to take this on internally as it as an architectural change (I'm happy to contribute btw, if the team agrees 😄) So, the 405 fix seems reasonable for now.

Looks like this has been assigned to the @n8n-io/adore team so, if anyone can guide me then It'd be great!

Thank You!",1787,CONTRIBUTOR,User,2026-07-23T21:54:48Z,2026-07-23T21:55:05Z,https://github.com/n8n-io/n8n/issues/34713#issuecomment-5063917842
n8n-io/n8n,34713,5066714164,8,"Fantastic work, thank you for reproducing and tracing it. The root cause you describe matches every behavior we observed on this end, including why POST completes normally while GET waits forever.

From the reporter's perspective: the short-term 405 on GET would fully unblock us. Our replay already proved the POST request/response path works end to end (200 with a complete initialize result), and spec-wise clients must tolerate a 405 on the listen stream, so Claude should fall back to POST-only operation and connect.

Happy to validate any fix build against this production instance with both Claude web and Claude desktop. We can reproduce the failing connect on demand, so turnaround on real-world verification is quick.

",736,NONE,User,2026-07-24T06:11:30Z,2026-07-24T06:11:30Z,https://github.com/n8n-io/n8n/issues/34713#issuecomment-5066714164
n8n-io/n8n,34713,5070519067,9,"Hey @louisvanempel! Just a heads up, the team opened #34835 as you can see it linked to the issue, which implements the exact same 405 fix we discussed above.

So, it looks like this wasn't open for community contributions after all, but the team has it handled and it should land.
Glad to see the fix going in either way, your detailed repro and trace made the root cause unambiguous, which must have helped move this quickly.

Thanks again for the excellent debugging on your end.",482,CONTRIBUTOR,User,2026-07-24T13:43:28Z,2026-07-24T13:43:28Z,https://github.com/n8n-io/n8n/issues/34713#issuecomment-5070519067
n8n-io/n8n,34708,5045159515,1,"Hey @tusharmotwani1718,

Thank you for reaching out! We’ve received your issue and are looking into it. To help us track this internally, we’ve created a Linear ticket with the reference: ""GHC-9050"".

We’ll keep you updated as we make progress, but if you have any additional details or context to share, feel free to add them here - it’s always helpful!

Thanks for your patience and for bringing this to our attention.

---
> For *INTERNAL* use only: [GHC-9050](https://linear.app/n8n/issue/GHC-9050)",502,CONTRIBUTOR,Bot,2026-07-22T11:19:40Z,2026-07-22T11:19:40Z,https://github.com/n8n-io/n8n/issues/34708#issuecomment-5045159515
