annotation_id,repository,issue_number,title,user_goal,obstacle,workaround,human_cost,cost_type,underlying_need,opportunity_statement,evidence_quote,confidence,opportunity_score,issue_url
NS-0054,n8n-io/n8n,34829,"AWS S3: SignatureDoesNotMatch on object keys containing ""="" or "":"" (path signed un-encoded, sent percent-encoded) — regression in 2.31.5",Download S3 objects whose keys contain equals signs or colons.,"n8n signs an unencoded path but sends a percent-encoded path, producing SignatureDoesNotMatch.",Percent-encode each key segment and use an HTTP Request node with an AWS credential and a path-style S3 URL.,Fragile custom URL construction that will break through double encoding after the signer is fixed.,risk,AWS signing over the same canonical path that n8n transmits.,Users need a better way to Download S3 objects whose keys contain equals signs or colons. without having to Percent-encode each key segment and use an HTTP Request node with an AWS credential and a path-style S3 URL..,Percent-encode the key per path segment and fetch via HTTP Request + AWS credential over a path-style URL.,high,9.9,https://github.com/n8n-io/n8n/issues/34829
NS-0025,n8n-io/n8n,34548,The built-in LDAP module does not work,Run LDAP searches in production.,The built-in LDAP node times out and cannot load options.,Install and use the community n8n-nodes-ldap package until upgrading fixes the built-in node.,Dependency on a separate community package and additional maintenance.,unspecified,Reliable built-in LDAP support across Windows Server environments.,Users need a better way to Run LDAP searches in production. without having to Install and use the community n8n-nodes-ldap package until upgrading fixes the built-in node..,But in prod environment only n8n-nodes-ldap@0.1.10 works on Windows Server 2022 Standard.,high,9.6,https://github.com/n8n-io/n8n/issues/34548
NS-0014,n8n-io/n8n,34813,AI Builder is unavailable when creating an n8n workflow,Generate or modify a workflow with AI Builder.,AI Builder does not complete the request.,Build the workflow manually.,Additional time and repetitive manual configuration.,time | effort,A reliable AI Builder with actionable failure messages.,Users need a better way to Generate or modify a workflow with AI Builder. without having to Build the workflow manually..,"Because of this, I have to build the workflow manually.",high,9.6,https://github.com/n8n-io/n8n/issues/34813
NS-0033,n8n-io/n8n,34955,"OAuth consent fails with ""Invalid or expired authorization session"" - n8n-oauth-session cookie hardcoded with Secure attribute ignoring N8N_SECURE_COOKIE=false",Complete MCP OAuth consent on an HTTP-hosted n8n instance.,The OAuth session cookie is always marked Secure and is dropped on plain HTTP.,Place n8n behind an HTTPS reverse proxy.,Requires extra infrastructure and configuration that should be unnecessary when secure cookies are disabled.,unspecified,OAuth cookies that respect N8N_SECURE_COOKIE=false.,Users need a better way to Complete MCP OAuth consent on an HTTP-hosted n8n instance. without having to Place n8n behind an HTTPS reverse proxy..,Confirmed workaround: putting n8n behind an HTTPS reverse proxy (e.g. Caddy) resolves the issue immediately.,high,9.5,https://github.com/n8n-io/n8n/issues/34955
NS-0017,n8n-io/n8n,34640,Imported workflow shows missing credentials until node dialog is opened,Use an imported workflow with its assigned credentials.,Imported nodes show false missing-credential warnings.,Open and close each affected node so n8n reselects a credential of the same type.,Repetitive manual work and uncertainty about whether credentials are actually valid.,effort,Correct credential-state reconciliation immediately after workflow import.,Users need a better way to Use an imported workflow with its assigned credentials. without having to Open and close each affected node so n8n reselects a credential of the same type..,"If the user opens an affected node in the node dialog (NDV) and closes it without changing anything, the warning disappears.",high,9.4,https://github.com/n8n-io/n8n/issues/34640
NS-0003,n8n-io/n8n,34812,Unable to use AI builder on n8n,Create and maintain a Facebook Lead Ads to SuiteCRM workflow.,The n8n AI Builder is unavailable.,Create and update the workflow manually.,"More setup time, cognitive effort, and manual configuration.",time | effort,Reliable AI-assisted workflow creation and editing.,Users need a better way to Create and maintain a Facebook Lead Ads to SuiteCRM workflow. without having to Create and update the workflow manually..,"I am unable to use the n8n AI Builder, so I am creating and updating the workflow manually.",high,9.4,https://github.com/n8n-io/n8n/issues/34812
NS-0001,n8n-io/n8n,34527,Public API GET /executions ignores projectId filter for member API keys,Restrict execution results to the requested project for member API keys.,The projectId filter is ignored for member API keys and returns executions from all accessible projects.,Patch the workflow-sharing query locally to add the missing projectId condition.,Requires maintaining a local code modification and leaves incorrect data exposure until patched.,unspecified,Consistent project-level filtering for every API-key role.,Users need a better way to Restrict execution results to the requested project for member API keys. without having to Patch the workflow-sharing query locally to add the missing projectId condition..,Adding the missing condition fixes it (verified locally).,high,9.3,https://github.com/n8n-io/n8n/issues/34527
NS-0016,n8n-io/n8n,34969,n8n side bug trying to connect to Ghl,Authenticate to GoHighLevel and update contacts from n8n Cloud.,The native HighLevel OAuth2 credential never persists the exchanged token.,Use GoHighLevel Private Integration Tokens through HTTP Request nodes.,Loses native-node resource locators and requires more manual request configuration.,effort | risk,Reliable native HighLevel OAuth token exchange and persistence.,Users need a better way to Authenticate to GoHighLevel and update contacts from n8n Cloud. without having to Use GoHighLevel Private Integration Tokens through HTTP Request nodes..,Proceeding with GoHighLevel Private Integration Tokens via HTTP Request nodes as an interim workaround.,high,9.3,https://github.com/n8n-io/n8n/issues/34969
NS-0035,n8n-io/n8n,34910,Editor UI: expanding the collapsed left sidebar renders an empty panel and pushes the main content off screen,Restore the editor after expanding the collapsed sidebar breaks the layout.,The expanded sidebar is blank and pushes the main content off screen.,Reload the page.,Interrupts work and must be repeated whenever the defect occurs.,effort,A sidebar toggle that reflows the editor without corrupting the layout.,Users need a better way to Restore the editor after expanding the collapsed sidebar breaks the layout. without having to Reload the page..,"Clicking the toggle again does not restore the layout, only a full page reload does.",high,9.3,https://github.com/n8n-io/n8n/issues/34910
NS-0047,n8n-io/n8n,34916,"Salesforce node (OAuth2): refresh silently drops oauthTokenData.instance_url, causing ""Invalid URL"" (ERR_INVALID_URL) until manual reconnect",Keep scheduled Salesforce workflows authenticated.,"Token refresh drops instance_url, causing every Salesforce request to fail.",Manually reconnect the Salesforce OAuth credential whenever it breaks.,"Recurring manual intervention, workflow downtime, and repeated failures.",time | effort | risk,Preserve Salesforce instance_url across OAuth refreshes.,Users need a better way to Keep scheduled Salesforce workflows authenticated. without having to Manually reconnect the Salesforce OAuth credential whenever it breaks..,Manually reconnecting the credential (full OAuth authorize flow) fixes it immediately.,high,9.3,https://github.com/n8n-io/n8n/issues/34916
