annotation_id,primary_label,has_workaround,user_goal,obstacle,workaround,human_cost,underlying_need,evidence_quote,confidence,annotator_notes
NS-0001,workaround,yes,Restrict execution results to the requested project for member API keys.,The projectId filter is ignored for member API keys and returns executions from all accessible projects.,Patch the workflow-sharing query locally to add the missing projectId condition.,Requires maintaining a local code modification and leaves incorrect data exposure until patched.,Consistent project-level filtering for every API-key role.,Adding the missing condition fixes it (verified locally).,high,Bug report with a verified local code patch; workaround takes priority.
NS-0002,bug_report,no,,,,,,,high,Repeated infrastructure failure; no compensating user behaviour described.
NS-0003,workaround,yes,Create and maintain a Facebook Lead Ads to SuiteCRM workflow.,The n8n AI Builder is unavailable.,Create and update the workflow manually.,"More setup time, cognitive effort, and manual configuration.",Reliable AI-assisted workflow creation and editing.,"I am unable to use the n8n AI Builder, so I am creating and updating the workflow manually.",high,
NS-0004,bug_report,no,,,,,,,high,Specific AI Assistant malfunction; no workaround described.
NS-0005,user_confusion,no,,,,,,,high,The node was waiting for the Slack trigger; maintainer determined it was expected trigger behaviour.
NS-0006,bug_report,no,,,,,,,medium,Sparse duplicate report of a hanging node; insufficient evidence to reclassify as confusion.
NS-0007,bug_report,no,,,,,,,high,The interface permits an invalid configuration that the Notion API rejects.
NS-0008,bug_report,no,,,,,,,high,Specific account-access failure; recreating an account did not recover the original account.
NS-0009,bug_report,no,,,,,,,high,Reproducible UI clipping defect; no workaround stated.
NS-0010,not_actionable,no,,,,,,,high,Too vague to diagnose or extract a behavioural signal.
NS-0011,bug_report,no,,,,,,,high,Specific schema mismatch between connected nodes.
NS-0012,bug_report,no,,,,,,,high,Configured timeout is ignored by the node.
NS-0013,bug_report,no,,,,,,,high,Multiple failed troubleshooting attempts are not a functioning workaround.
NS-0014,workaround,yes,Generate or modify a workflow with AI Builder.,AI Builder does not complete the request.,Build the workflow manually.,Additional time and repetitive manual configuration.,A reliable AI Builder with actionable failure messages.,"Because of this, I have to build the workflow manually.",high,
NS-0015,bug_report,no,,,,,,,high,"curl was used as a diagnostic control, not as an adopted operating workaround."
