annotation_id,repository,issue_number,title,primary_label,heuristic_score,matched_patterns,actual_label,model_prediction,workaround_probability,behavioral_cues,model_correct,error_type
NS-0025,n8n-io/n8n,34548,The built-in LDAP module does not work,workaround,1,manual_process,workaround,no_workaround,0.30087953890414454,manual_intervention | multi_step_sequence,False,false_negative
NS-0017,n8n-io/n8n,34640,Imported workflow shows missing credentials until node dialog is opened,workaround,1,data_transfer,workaround,no_workaround,0.3173106976080038,manual_intervention | multi_step_sequence,False,false_negative
NS-0054,n8n-io/n8n,34829,"AWS S3: SignatureDoesNotMatch on object keys containing ""="" or "":"" (path signed un-encoded, sent percent-encoded) — regression in 2.31.5",workaround,2,explicit_workaround | data_transfer,workaround,no_workaround,0.31764608428174207,manual_intervention | alternative_method | multi_step_sequence | avoidance_behavior | external_storage,False,false_negative
NS-0034,n8n-io/n8n,34906,MCP server: update_workflow on an ACTIVE workflow fails with SQLITE_ERROR: no such column: distinctAlias.SharedWorkflow_projectId (2.31.5),workaround,0,,workaround,no_workaround,0.34623548324063186,manual_intervention | multi_step_sequence | avoidance_behavior,False,false_negative
NS-0003,n8n-io/n8n,34812,Unable to use AI builder on n8n,workaround,1,manual_process,workaround,no_workaround,0.3600930404355659,constraint_language | manual_intervention | repetition_or_retry | multi_step_sequence | successful_compensation,False,false_negative
NS-0046,n8n-io/n8n,34970,Google Service Account Impersonation failing validation (but working),workaround,0,,workaround,no_workaround,0.4034497757335523,constraint_language | manual_intervention | external_storage,False,false_negative
NS-0033,n8n-io/n8n,34955,"OAuth consent fails with ""Invalid or expired authorization session"" - n8n-oauth-session cookie hardcoded with Secure attribute ignoring N8N_SECURE_COOKIE=false",workaround,2,alternative_method | explicit_workaround,workaround,no_workaround,0.4036632100801227,alternative_method | multi_step_sequence | avoidance_behavior,False,false_negative
NS-0035,n8n-io/n8n,34910,Editor UI: expanding the collapsed left sidebar renders an empty panel and pushes the main content off screen,workaround,1,alternative_method,workaround,no_workaround,0.4338865032336287,manual_intervention | alternative_method | repetition_or_retry | multi_step_sequence,False,false_negative
NS-0014,n8n-io/n8n,34813,AI Builder is unavailable when creating an n8n workflow,workaround,2,manual_process | forced_action,workaround,no_workaround,0.4356404022272009,constraint_language | manual_intervention,False,false_negative
NS-0057,n8n-io/n8n,34676,Touchscreen on canvas stops working after sending any keystroke,workaround,1,alternative_method,workaround,no_workaround,0.4519869376743518,alternative_method | repetition_or_retry | multi_step_sequence | avoidance_behavior,False,false_negative
NS-0044,n8n-io/n8n,34947,MCP tool update_workflow does not support setting availableInMCP via setWorkflowSettings,workaround,1,manual_process,workaround,no_workaround,0.4646054422165052,constraint_language | manual_intervention | avoidance_behavior,False,false_negative
NS-0048,n8n-io/n8n,34669,Postgres workflow statistics rollup crashes when firstEvent is returned as a non-Date value,workaround,1,repetition,workaround,no_workaround,0.4801270784750243,repetition_or_retry | multi_step_sequence | avoidance_behavior,False,false_negative
NS-0047,n8n-io/n8n,34916,"Salesforce node (OAuth2): refresh silently drops oauthTokenData.instance_url, causing ""Invalid URL"" (ERR_INVALID_URL) until manual reconnect",workaround,1,manual_process,workaround,no_workaround,0.48255502077440665,manual_intervention | repetition_or_retry | multi_step_sequence | successful_compensation,False,false_negative
NS-0016,n8n-io/n8n,34969,n8n side bug trying to connect to Ghl,workaround,1,explicit_workaround,workaround,no_workaround,0.4878365800013587,alternative_method | multi_step_sequence,False,false_negative
NS-0043,n8n-io/n8n,34961,"Instance-level MCP OAuth: token exchange fails with ""code_verifier does not match the challenge"" (InvalidGrantError) after successful consent",user_confusion,2,manual_process | only_method,no_workaround,workaround,0.5026546169037152,constraint_language | manual_intervention | repetition_or_retry | multi_step_sequence,False,false_positive
NS-0019,n8n-io/n8n,34934,Cal.com nodes & credential still use API V1,bug_report,0,,no_workaround,workaround,0.5103093795504137,,False,false_positive
NS-0051,n8n-io/n8n,34488,Sustained 401 storm on GET /workflows/:id/collaboration/write-lock from a single tab (suspected leaked poll interval),bug_report,1,repetition,no_workaround,workaround,0.5143997743110346,repetition_or_retry | multi_step_sequence,False,false_positive
NS-0050,n8n-io/n8n,34713,Instance-level MCP (2.31.4): valid OAuth access token with correct audience rejected by MCP endpoint — Claude connector fails with McpAuthorizationError after successful consent,bug_report,2,manual_process | alternative_method,no_workaround,workaround,0.5249259556752777,constraint_language | manual_intervention | alternative_method | repetition_or_retry | multi_step_sequence | successful_compensation,False,false_positive
NS-0023,n8n-io/n8n,34675,Support Application Default Credentials (auto-detect) for GCP Secrets Manager external secrets provider,feature_request,1,forced_action,no_workaround,workaround,0.5386915138248952,manual_intervention,False,false_positive
NS-0028,n8n-io/n8n,34951,pagination expression referencing $request sends masked credential placeholder instead of real value,bug_report,2,manual_process | alternative_method,no_workaround,workaround,0.5432910138836314,manual_intervention | alternative_method | multi_step_sequence,False,false_positive
NS-0029,n8n-io/n8n,34781,How can I install this in my server,user_confusion,1,forced_action,no_workaround,workaround,0.5645166798215865,constraint_language | multi_step_sequence | successful_compensation,False,false_positive
