annotation_id,repository,issue_number,title,primary_label,actual_label,heuristic_score,matched_patterns,heuristic_prediction,model_prediction,workaround_probability,heuristic_correct,model_correct,error_type
NS-0003,n8n-io/n8n,34812,Unable to use AI builder on n8n,workaround,workaround,1,manual_process,workaround,no_workaround,0.4265,True,False,false_negative
NS-0014,n8n-io/n8n,34813,AI Builder is unavailable when creating an n8n workflow,workaround,workaround,2,manual_process | forced_action,workaround,no_workaround,0.454,True,False,false_negative
NS-0017,n8n-io/n8n,34640,Imported workflow shows missing credentials until node dialog is opened,workaround,workaround,1,data_transfer,workaround,no_workaround,0.4,True,False,false_negative
NS-0019,n8n-io/n8n,34934,Cal.com nodes & credential still use API V1,bug_report,no_workaround,0,,no_workaround,workaround,0.5226,True,False,false_positive
NS-0023,n8n-io/n8n,34675,Support Application Default Credentials (auto-detect) for GCP Secrets Manager external secrets provider,feature_request,no_workaround,1,forced_action,workaround,workaround,0.5199,False,False,false_positive
NS-0025,n8n-io/n8n,34548,The built-in LDAP module does not work,workaround,workaround,1,manual_process,workaround,no_workaround,0.3925,True,False,false_negative
NS-0028,n8n-io/n8n,34951,pagination expression referencing $request sends masked credential placeholder instead of real value,bug_report,no_workaround,2,manual_process | alternative_method,workaround,workaround,0.5136,False,False,false_positive
NS-0029,n8n-io/n8n,34781,How can I install this in my server,user_confusion,no_workaround,1,forced_action,workaround,workaround,0.5031,False,False,false_positive
NS-0033,n8n-io/n8n,34955,"OAuth consent fails with ""Invalid or expired authorization session"" - n8n-oauth-session cookie hardcoded with Secure attribute ignoring N8N_SECURE_COOKIE=false",workaround,workaround,2,alternative_method | explicit_workaround,workaround,no_workaround,0.4604,True,False,false_negative
NS-0034,n8n-io/n8n,34906,MCP server: update_workflow on an ACTIVE workflow fails with SQLITE_ERROR: no such column: distinctAlias.SharedWorkflow_projectId (2.31.5),workaround,workaround,0,,no_workaround,no_workaround,0.3944,False,False,false_negative
NS-0035,n8n-io/n8n,34910,Editor UI: expanding the collapsed left sidebar renders an empty panel and pushes the main content off screen,workaround,workaround,1,alternative_method,workaround,no_workaround,0.4722,True,False,false_negative
NS-0044,n8n-io/n8n,34947,MCP tool update_workflow does not support setting availableInMCP via setWorkflowSettings,workaround,workaround,1,manual_process,workaround,no_workaround,0.4768,True,False,false_negative
NS-0046,n8n-io/n8n,34970,Google Service Account Impersonation failing validation (but working),workaround,workaround,0,,no_workaround,no_workaround,0.4521,False,False,false_negative
NS-0047,n8n-io/n8n,34916,"Salesforce node (OAuth2): refresh silently drops oauthTokenData.instance_url, causing ""Invalid URL"" (ERR_INVALID_URL) until manual reconnect",workaround,workaround,1,manual_process,workaround,no_workaround,0.4861,True,False,false_negative
NS-0050,n8n-io/n8n,34713,Instance-level MCP (2.31.4): valid OAuth access token with correct audience rejected by MCP endpoint — Claude connector fails with McpAuthorizationError after successful consent,bug_report,no_workaround,2,manual_process | alternative_method,workaround,workaround,0.5183,False,False,false_positive
NS-0051,n8n-io/n8n,34488,Sustained 401 storm on GET /workflows/:id/collaboration/write-lock from a single tab (suspected leaked poll interval),bug_report,no_workaround,1,repetition,workaround,workaround,0.5123,False,False,false_positive
NS-0054,n8n-io/n8n,34829,"AWS S3: SignatureDoesNotMatch on object keys containing ""="" or "":"" (path signed un-encoded, sent percent-encoded) — regression in 2.31.5",workaround,workaround,2,explicit_workaround | data_transfer,workaround,no_workaround,0.3834,True,False,false_negative
NS-0057,n8n-io/n8n,34676,Touchscreen on canvas stops working after sending any keystroke,workaround,workaround,1,alternative_method,workaround,no_workaround,0.4694,True,False,false_negative
