annotation_id,repository,issue_number,issue_url,title,thread_text,comments_count,heuristic_score,matched_patterns,primary_label,has_workaround,user_goal,obstacle,workaround,human_cost,underlying_need,evidence_quote,confidence,annotator_notes
NS-0001,n8n-io/n8n,34527,https://github.com/n8n-io/n8n/issues/34527,Public API GET /executions ignores projectId filter for member API keys,"TITLE:
Public API GET /executions ignores projectId filter for member API keys

ISSUE DESCRIPTION:
### Bug Description

`GET /api/v1/executions?projectId=<id>` only applies the `projectId` filter when the API key belongs to a user with the global `workflow:read` scope (instance owner/admin). For an API key owned by a regular **member**, the `projectId` query parameter is silently ignored and the endpoint returns executions from **all** projects the member has access to.

Consequences for member API keys:
- `projectId=<project A>` and `projectId=<project B>` return the identical merged result set (all accessible projects mixed together).
- `projectId=<project the member has no access to>` returns the member's full execution list instead of an empty list.
- `projectId=<nonexistent id>` also returns the full list (an owner/admin key correctly returns `[]` in both of these cases).

**Root cause:** in `packages/cli/src/workflows/workflow-sharing.service.ts`, `WorkflowSharingService.getSharedWorkflowIds()` destructures `projectId` from its options, applies it in the `hasGlobalScope(user, 'workflow:read')` branch, but never uses it in the non-global branch — the `where` clause there filters only by workflow role and the user's project relations. Verified identical in `n8n@2.26.3` and current `master`.

Adding the missing condition fixes it (verified locally; existing `workflow-sharing.service.test.ts` and public-api `executions.test.ts` suites still pass):

```ts
const sharedWorkflows = await this.sharedWorkflowRepository.find({
 where: {
 ...(projectId && { projectId }), // <-- was missing
 role: In(workflowRoles),
 project: {
 projectRelations: {
 userId: user.id,
 role: In(projectRoles),
 },
 },
 },
 select: ['workflowId'],
});
```

### Steps to Reproduce

1. Licensed instance with projects/sharing enabled.
2. Create a **member** user; add them as project admin (or editor/viewer) to a team project that contains a workflow with at least one execution. The member's personal project should also contain a workflow with an execution.
3. Create an API key for the member.
4. Call `GET /api/v1/executions?status=success&projectId=<team project id>` with the member's key.
5. Observe the response contains executions from the member's personal project as well — and that changing `projectId` to any other value (including a nonexistent id) returns the same result set.
6. Repeat with an instance owner's API key: filtering works correctly.

### Expected Behavior

`projectId` should restrict results to the given project for any API key (and return an empty list for projects the key's user cannot access), matching the owner/admin behavior and the documented parameter.

### Debug Info

Reproduced on 2.26.3 (self-hosted) and on current master from source. The relevant code path is unchanged between the two.

### Operating System

Linux (Kubernetes) / also reproduced on macOS from source

### n8n Version

2.26.3 (code identical on master)

### Node.js Version

22.x

### Database

PostgreSQL

### Execution Mode

queue (also reproduced in regular mode)

### Hosting

self hosted",1,1,alternative_method,,,,,,,,,,
NS-0002,n8n-io/n8n,34594,https://github.com/n8n-io/n8n/issues/34594,Instance-wide Code node runner failures — multiple unrelated workflows affected,"TITLE:
Instance-wide Code node runner failures — multiple unrelated workflows affected

ISSUE DESCRIPTION:
Instance: pareiprogramei-n8n.cloudfy.live
Since approximately 15:54 (Jul 20), Code nodes across multiple unrelated workflows on this instance have been failing with:
""Task request timed out after 20 seconds — Your Code node task was not matched to a runner within the timeout period. This indicates that the task runner is currently down, or not ready, or at capacity, so it cannot service your task.""
This is not isolated to one workflow — it's affecting the entire instance:

PAREI PROGRAMEI | MOTOR PRINCIPAL — Code node executions failing since 15:54 (confirmed via execution history: 15:00/15:26/15:43 succeeded, everything from 15:54 onward failed with the runner timeout error)
PAREI FUTVIRTUAL and FUTVIRTUAL | REGISTRAR JOGOS — separate, unrelated workflows, currently failing repeatedly every few minutes (executions #70139 through #70150 observed, all ""Error"" with ~20s runtime, running roughly every 8 minutes from 18:53 to 18:59)

All affected Code nodes are simple operations (array mapping, field additions) that normally complete in milliseconds — this is not a code complexity or timeout-tuning issue, it's the task runner itself being unavailable.
Could you please check the runner health/capacity for this instance? This is currently blocking production workflows.

DISCUSSION:
Hey @PareiProgramei,

Thank you for reaching out! We’ve received your issue and are looking into it. To help us track this internally, we’ve created a Linear ticket with the reference: ""GHC-9032"".

We’ll keep you updated as we make progress, but if you have any additional details or context to share, feel free to add them here - it’s always helpful!

Thanks for your patience and for bringing this to our attention.

---
> For *INTERNAL* use only: [GHC-9032](https://linear.app/n8n/issue/GHC-9032)

--- COMMENT ---

@PareiProgramei this error is the by-design runner timeout. `TaskRequestTimeoutError` fires when no task runner accepts a Code node task within `N8N_RUNNERS_TASK_REQUEST_TIMEOUT` (~20s). The instance-wide, timestamped onset across unrelated workflows points to the task runner process being down, unreachable from the main instance, or at capacity on your deployment. It is not a Code node complexity issue.

Your instance runs on `cloudfy.live`, which is a third-party host, not n8n Cloud. We have no access to the runner health or capacity there, so this is best raised with Cloudfy support. On your side, worth checking whether the runner container is up and healthy, and whether it can reach the main instance (auth token and network).",2,1,repetition,,,,,,,,,,
NS-0003,n8n-io/n8n,34812,https://github.com/n8n-io/n8n/issues/34812,Unable to use AI builder on n8n,"TITLE:
Unable to use AI builder on n8n

ISSUE DESCRIPTION:
## Describe the problem/error/question

I am building an n8n workflow that receives Facebook Lead Ads submissions and creates leads in SuiteCRM.

The workflow is working, but I am concerned about what happens when two or more people submit the Facebook form at nearly the same time.

My n8n execution concurrency is set to 5. I want to confirm whether both submissions will be processed independently or whether simultaneous submissions could cause one execution to fail, overwrite another lead, or prevent a lead from being saved in SuiteCRM.

I am unable to use the n8n AI Builder, so I am creating and updating the workflow manually.

I would also appreciate guidance on making the workflow production-ready, including:

* Preventing duplicate leads
* Handling simultaneous form submissions safely
* Retrying SuiteCRM requests when an API request fails
* Preventing one failed execution from affecting other submissions
* Logging failed submissions for manual review
* Ensuring every Facebook lead is saved in SuiteCRM

## What is the error message (if any)?

There is currently no consistent error message.

My main concern is whether simultaneous Facebook form submissions could cause errors or missing leads when the workflow sends data to SuiteCRM.

## Share the output returned by the last node

The last node sends the lead information to SuiteCRM.

For successful executions, SuiteCRM should return the newly created lead record ID.

Example expected output:

```json
{
 ""success"": true,
 ""lead_id"": ""SUITECRM_LEAD_ID""
}
```

For failed executions, I would like the workflow to capture the HTTP status code and error response, retry temporary failures, and store the original Facebook lead data for manual processing.

## Debug info

### core

* n8nVersion: 2.31.5
* platform: docker (cloud)
* nodeJsVersion: 24.16.0
* nodeEnv: production
* database: sqlite
* executionMode: regular
* concurrency: 5
* license: enterprise (sandbox)

### storage

* success: all
* error: all
* progress: false
* manual: true
* binaryMode: filesystem

### pruning

* enabled: true
* maxAge: 168 hours
* maxCount: 2500 executions

### client

* userAgent: mozilla/5.0 (windows nt 10.0; win64; x64) applewebkit/537.36 (khtml, like gecko) chrome/150.0.0.0 safari/537.36
* isTouchDevice: false

Generated at: 2026-07-23T17:19:22.827Z

DISCUSSION:
Thank you for taking the time to submit this issue! Unfortunately, it looks like the issue template hasn’t been fully completed. The template is crucial because it helps us understand the problem better and resolve it more efficiently.

We’ll go ahead and close this issue for now. If you’d still like assistance, please feel free to reopen the issue after filling out the required information in the template. Alternatively, you can create a new issue using the template to provide the missing details.

We appreciate your understanding and look forward to assisting you further once we have all the necessary information!

--- COMMENT ---

i edited the template can you please reopen this issue 
thanks",2,1,manual_process,,,,,,,,,,
NS-0004,n8n-io/n8n,34614,https://github.com/n8n-io/n8n/issues/34614,Error message whatever I do in the AI Assistant,"TITLE:
Error message whatever I do in the AI Assistant

ISSUE DESCRIPTION:
<!-- Please follow the template below. Skip the questions that are not relevant to you. -->

## Describe the problem/error/question

Error message whatever I do in the AI Assistant
 

## What is the error message (if any)?

Error: Something went wrong before I could finish that response. Please try again.

Something went wrong before I could finish that response. Please try again.
 
## Please share your workflow/screenshots/recording

not started. 

(Select the nodes on your canvas and use the keyboard shortcuts CMD+C/CTRL+C and CMD+V/CTRL+V to copy and paste the workflow.)
⚠️ WARNING ⚠️ If you have sensitive data in your workflow (like API keys), please remove it before sharing.
```

## Share the output returned by the last node
<!-- If you need help with data transformations, please also share your expected output. -->

## Debug info

### core

- n8nVersion: 2.30.7
- platform: docker (cloud)
- nodeJsVersion: 24.16.0
- nodeEnv: production
- database: sqlite
- executionMode: regular
- concurrency: 5
- license: enterprise (sandbox)

### storage

- success: all
- error: all
- progress: false
- manual: true
- binaryMode: filesystem

### pruning

- enabled: true
- maxAge: 168 hours
- maxCount: 2500 executions

### client

- userAgent: mozilla/5.0 (windows nt 10.0; win64; x64) applewebkit/537.36 (khtml, like gecko) chrome/150.0.0.0 safari/537.36 edg/150.0.0.0
- isTouchDevice: false

Generated at: 2026-07-21T09:00:31.067Z

DISCUSSION:
Hey @HKANT100,

Thank you for reaching out! We’ve received your issue and are looking into it. To help us track this internally, we’ve created a Linear ticket with the reference: ""GHC-9034"".

We’ll keep you updated as we make progress, but if you have any additional details or context to share, feel free to add them here - it’s always helpful!

Thanks for your patience and for bringing this to our attention.

---
> For *INTERNAL* use only: [GHC-9034](https://linear.app/n8n/issue/GHC-9034)

--- COMMENT ---

<img width=""949"" height=""562"" alt=""Image"" src=""https://github.com/user-attachments/assets/6f5d028e-7e77-480e-b32f-9fcb026fe384"" />

--- COMMENT ---

@HKANT100 please email the support team using help@n8n.io and they will be able to look into your instance to see what might be going wrong.",3,0,,,,,,,,,,,
NS-0005,n8n-io/n8n,34815,https://github.com/n8n-io/n8n/issues/34815,Google Sheets node (Get Row(s) / Append Row) hangs with no error,"TITLE:
Google Sheets node (Get Row(s) / Append Row) hangs with no error

ISSUE DESCRIPTION:
### Bug Description

When executing the Google Sheets node with the ""Get Row(s)"" or ""Append Row"" operation, the execution loads indefinitely without showing any error, both in test mode (Execute step) and in real production executions.

The OAuth2 credential shows ""Account connected"" correctly
I tested with multiple different documents, including a new and simple one created to rule out the issue
The same behavior occurs whether the workflow is published or unpublished

Workflow ID: https://osana.app.n8n.cloud/workflow/HBbt65ZJAgcZApLr/e5b31c
Credential name: Google Sheets mariano

### To Reproduce

1. Create a Google Sheets node with operation ""Get Row(s)"" (or ""Append Row"")
2. Select a valid Google Sheets OAuth2 credential (shows ""Account connected"")
3. Select any Document/Sheet (tested with multiple documents, including a new simple one)
4. Click ""Execute step""
5. The node spinner keeps loading indefinitely, no error is shown, no data is returned

https://github.com/user-attachments/assets/5e3305de-c68d-44aa-9a8e-fca16b5abbaa

### Expected behavior

The node should either return the rows from the sheet, or show a clear error message if something is wrong with the credential or request.

### Debug Info

# Debug info

## core

- n8nVersion: 2.31.5
- platform: docker (cloud)
- nodeJsVersion: 24.16.0
- nodeEnv: production
- database: sqlite
- executionMode: regular
- concurrency: 20
- license: enterprise (sandbox)
- consumerId: 00000000-0000-0000-0000-000000000000

## storage

- success: all
- error: all
- progress: false
- manual: true
- binaryMode: filesystem

## pruning

- enabled: true
- maxAge: 720 hours
- maxCount: 25000 executions

## client

- userAgent: mozilla/5.0 (windows nt 10.0; win64; x64) applewebkit/537.36 (khtml, like gecko) chrome/150.0.0.0 safari/537.36
- isTouchDevice: false

Generated at: 2026-07-23T18:10:06.448Z

### Operating System

n8n Cloud (managed)

### n8n Version

 2.31.5

### Node.js Version

n8n Cloud (managed)

### Database

SQLite (default)

### Execution mode

main (default)

### Hosting

n8n cloud

DISCUSSION:
Hey @mariano-veron-osanasalud,

Thank you for reaching out! We’ve received your issue and are looking into it. To help us track this internally, we’ve created a Linear ticket with the reference: ""GHC-9063"".

We’ll keep you updated as we make progress, but if you have any additional details or context to share, feel free to add them here - it’s always helpful!

Thanks for your patience and for bringing this to our attention.

---
> For *INTERNAL* use only: [GHC-9063](https://linear.app/n8n/issue/GHC-9063)

--- COMMENT ---

@mariano-veron-osanasalud Looking at your video you have manually executed the node but the trigger node is a Slack trigger so that node will be waiting for an event before starting. Can you try using a manual trigger node for now or send an event in Slack to make sure the trigger starts.

--- COMMENT ---

@mariano-veron-osanasalud I have just tested this and it does appear to be what I thought based on your video.

I am going to close this for now as it doesn't look to be a bug. If you see the same issue after the trigger has executed let me know and we can open this again.",3,1,manual_process,,,,,,,,,,
NS-0006,n8n-io/n8n,34814,https://github.com/n8n-io/n8n/issues/34814,Google Sheets node (Get Row(s) / Append Row) hangs with no error,"TITLE:
Google Sheets node (Get Row(s) / Append Row) hangs with no error

ISSUE DESCRIPTION:
When executing the Google Sheets node with the ""Get Row(s)"" or ""Append Row"" operation, the execution loads indefinitely without showing any error, both in test mode (Execute step) and in real production executions.

The OAuth2 credential shows ""Account connected"" correctly
I tested with multiple different documents, including a new and simple one created to rule out the issue
The same behavior occurs whether the workflow is published or unpublished

Workflow ID: https://osana.app.n8n.cloud/workflow/HBbt65ZJAgcZApLr/e5b31c
Credential name: Google Sheets mariano

https://github.com/user-attachments/assets/37498b09-ea79-4929-aa31-f2b41c1c6118",1,0,,,,,,,,,,,
NS-0007,n8n-io/n8n,34708,https://github.com/n8n-io/n8n/issues/34708,"Bug: Formula filter ""Return Type"" allows inconsistent selections","TITLE:
Bug: Formula filter ""Return Type"" allows inconsistent selections

ISSUE DESCRIPTION:
### Bug Description

When configuring a filter for a Formula property in the Notion node, the Return Type dropdown allows selecting any supported type (Text, Number, Checkbox, Date, etc.), even if the selected Formula property evaluates to a different type.

This allows users to construct requests that the Notion API immediately rejects with a validation error.

### To Reproduce

1. Create a Notion Formula property that returns a checkbox (boolean), for example: prop(""Status"") == ""Done""

2. In the Notion node:
- Resource: Database Page
- Operation: Get Many
- Filter: Build Manually
- Property: Formula property
- Return Type: Text
- Condition: Is Not Empty

<img width=""1250"" height=""719"" alt=""Image"" src=""https://github.com/user-attachments/assets/d71922f2-c96e-4042-9873-0b38662f698e"" />

<img width=""1231"" height=""538"" alt=""Image"" src=""https://github.com/user-attachments/assets/ff35a5bf-0500-4e02-847d-8202c3c08f70"" />

3. Execute the node.

### Expected behavior

Formula properties in notion have a specific return type based on the formula expression. Only this return type should be used while calling the notion api using the property.

The n8n UI should ideally prevent users from selecting inconsistent return types for Formula properties, or otherwise validate the selection before sending the request.

If automatic detection of the Formula return type is possible, the node could restrict the available options (or automatically select the correct one).

If automatic detection is not possible due to limitations of the Notion API, it may still be worth improving the UX by documenting the requirement more clearly or validating the configuration where feasible.

### **Actual Behaviour**

The ui lists all the possible return types for the formula property.

<img width=""1294"" height=""327"" alt=""Image"" src=""https://github.com/user-attachments/assets/ab631ee1-d969-411c-84a0-bdd757bd61ee"" />

Choosing the wrong one can generate errors like: 

`{ ""object"": ""error"", ""status"": 400, ""code"": ""validation_error"", ""message"": ""The formula has a result type that does not match the property type of the filter provided: formula checkbox does not match filter text"", ""request_id"": ""ba1ef1c8-dfe0-42ea-aa62-aaaed8185906"" }`

<img width=""884"" height=""779"" alt=""Image"" src=""https://github.com/user-attachments/assets/680f84a0-8398-4e55-91b8-50c6e7c7e5b5"" />

_Fixing this is only possible if notion provides a way to expose the return type of its ""formula"" properties._

_Othewise building a expression parser to get the return type for ""formula"" properties can work._

**### Question**

Does the Notion API expose the evaluated return type of a Formula property through any endpoint (for example, as part of the database/data source schema)?

If so, n8n could potentially use that metadata to present only valid return type options for the selected Formula property.

### Debug Info

# Debug info

## core

- n8nVersion: 2.32.0
- platform: npm
- nodeJsVersion: 22.23.1
- nodeEnv: undefined
- database: sqlite
- executionMode: regular
- concurrency: -1
- license: community
- consumerId: unknown

## storage

- success: all
- error: all
- progress: false
- manual: true
- binaryMode: filesystem

## pruning

- enabled: true
- maxAge: 336 hours
- maxCount: 10000 executions

## client

- userAgent: mozilla/5.0 (windows nt 10.0; win64; x64) applewebkit/537.36 (khtml, like gecko) chrome/150.0.0.0 safari/537.36
- isTouchDevice: false

## cluster

- instanceCount: 1
- versions: 2.32.0
- instances:
 - instanceKey: f8073990-aa0d-4a31-9f01-943f4582abcc, hostId: main-UGeK0u2YGtoga72y, instanceType: main, instanceRole: leader, version: 2.32.0
- checks:
 - check: hostid-clash, status: succeeded, warnings: -
 - check: lifecycle, status: succeeded, warnings: -
 - check: split-brain, status: succeeded, warnings: -
 - check: version-mismatch, status: succeeded, warnings: -

Generated at: 2026-07-22T08:34:16.371Z

### Operating System

Windows

### n8n Version

2.32.0

### Node.js Version

26.5.0

### Database

PostgreSQL

### Execution mode

main (default)

### Hosting

n8n cloud

DISCUSSION:
Hey @tusharmotwani1718,

Thank you for reaching out! We’ve received your issue and are looking into it. To help us track this internally, we’ve created a Linear ticket with the reference: ""GHC-9050"".

We’ll keep you updated as we make progress, but if you have any additional details or context to share, feel free to add them here - it’s always helpful!

Thanks for your patience and for bringing this to our attention.

---
> For *INTERNAL* use only: [GHC-9050](https://linear.app/n8n/issue/GHC-9050)

--- COMMENT ---

On investigating further down the api, I found that the notion doesn't exposes the return type for formula properties directly while fetching the properties of the data source.

Instead to get the return type, we need to call the api for ""Query a single page"" i.e. `data_sources/${dataSourceId}/query`. 

Although, using this extra api call has both:

**Pros**:
- Better UX
- Prevents invalid filter combinations
- No confusing Notion validation errors

**Cons**:
- Extra API request while configuring the node
- Slower parameter loading

This is an important design decision and over to n8n team.

also, I can raise PR for this if you guys agree to change the current flow a bit and add an extra api call.

--- COMMENT ---

This seems to be a duplicate of: https://github.com/n8n-io/n8n/issues/34590

--- COMMENT ---

> This seems to be a duplicate of: [#34590](https://github.com/n8n-io/n8n/issues/34590)

Just checked out the issue #34590

While both the issues seem similar, there is a slight difference between them.

#34590 issue is about fetching the pages with unknown formula type.

However this issue is about showing fixed return type in n8n ui for already present formula return type to avoid inconsistent parameters.

That means the formula already has a return type and it is fixed so the n8n ui should only show that return type instead of giving a fixed list of options everytime.

Have also shared my technical investigation over the current working notion node in this issue's comment.

--- COMMENT ---

@tusharmotwani1718 Good to know, thank you 🙌

--- COMMENT ---

Hi! I'd like to work on this issue. I have experience with AI/ML projects and this aligns well with my skills. I'll submit a PR soon! 🚀

--- COMMENT ---

@eslam-ahmed43 this issue is already team assigned.",7,3,manual_process | forced_action | alternative_method,,,,,,,,,,
NS-0008,n8n-io/n8n,34535,https://github.com/n8n-io/n8n/issues/34535,Account lost,"TITLE:
Account lost

ISSUE DESCRIPTION:
<!-- Please follow the template below. Skip the questions that are not relevant to you. -->

## Describe the problem/error/question
I had an account a couple of months ago, and I am unable to log back into it. I even managed to recreate an account with the same email for some reason. Email is drumnich@gmail.com 

## What is the error message (if any)?

## Please share your workflow/screenshots/recording

```
(Select the nodes on your canvas and use the keyboard shortcuts CMD+C/CTRL+C and CMD+V/CTRL+V to copy and paste the workflow.)
⚠️ WARNING ⚠️ If you have sensitive data in your workflow (like API keys), please remove it before sharing.
```

## Share the output returned by the last node
<!-- If you need help with data transformations, please also share your expected output. -->

## Debug info

### core

- n8nVersion: 2.30.7
- platform: docker (cloud)
- nodeJsVersion: 24.16.0
- nodeEnv: production
- database: sqlite
- executionMode: regular
- concurrency: 5
- license: enterprise (sandbox)

### storage

- success: all
- error: all
- progress: false
- manual: true
- binaryMode: filesystem

### pruning

- enabled: true
- maxAge: 168 hours
- maxCount: 2500 executions

### client

- userAgent: mozilla/5.0 (macintosh; intel mac os x 10_15_7) applewebkit/537.36 (khtml, like gecko) chrome/147.0.0.0 safari/537.36
- isTouchDevice: false

Generated at: 2026-07-20T07:57:08.353Z",1,0,,,,,,,,,,,
NS-0009,n8n-io/n8n,34756,https://github.com/n8n-io/n8n/issues/34756,Node output panel is visually clipped when opening a node,"TITLE:
Node output panel is visually clipped when opening a node

ISSUE DESCRIPTION:
### Bug Description

When opening a node in the workflow editor, the node configuration panel is displayed correctly on the left, but the OUTPUT section is visually clipped.

<img width=""2048"" height=""719"" alt=""Image"" src=""https://github.com/user-attachments/assets/e481b76a-fbf6-49ad-a8fd-b80778192c49"" />

### To Reproduce

1. Open a workflow
2. Open any node like PostgreSQL node for example.
3. Observe the node editor panel.
4. Check the OUTPUT section next to the INPUT section.

### Expected behavior

The OUTPUT panel is only partially visible. Its content is clipped or covered by the workflow canvas, as though the panel width or its z-index/overflow properties were calculated incorrectly.

In the attached screenshot, only fragments such as “No o…”, “Exe…”, and “or se…” are visible.

### Debug Info

# Debug info

## core

- n8nVersion: 2.31.5
- platform: docker (self-hosted)
- nodeJsVersion: 24.16.0
- nodeEnv: production
- database: sqlite
- executionMode: regular
- concurrency: -1
- license: enterprise (production)
- consumerId: d6c86cf8-f980-44e5-99c6-51c4fe848519

## storage

- success: all
- error: all
- progress: false
- manual: true
- binaryMode: filesystem

## pruning

- enabled: true
- maxAge: 336 hours
- maxCount: 10000 executions

## client

- userAgent: mozilla/5.0 (windows nt 10.0; win64; x64) applewebkit/537.36 (khtml, like gecko) chrome/150.0.0.0 safari/537.36
- isTouchDevice: false

## cluster

- instanceCount: 1
- versions: 2.31.5
- instances:
 - instanceKey: 8d025dbd-1f6c-4d9c-a2c0-4e0d0a9817b7, hostId: main-3906793057fa, instanceType: main, instanceRole: leader, version: 2.31.5
- checks:
 - check: hostid-clash, status: succeeded, warnings: -
 - check: lifecycle, status: succeeded, warnings: -
 - check: split-brain, status: succeeded, warnings: -
 - check: version-mismatch, status: succeeded, warnings: -

Generated at: 2026-07-23T06:02:07.055Z

### Operating System

Ubuntu Linux 24.04.3 LTS

### n8n Version

2.31.5

### Node.js Version

24.16.0

### Database

PostgreSQL

### Execution mode

main (default)

### Hosting

self hosted

DISCUSSION:
Hey @AndreaLeto00,

Thank you for reaching out! We’ve received your issue and are looking into it. To help us track this internally, we’ve created a Linear ticket with the reference: ""GHC-9058"".

We’ll keep you updated as we make progress, but if you have any additional details or context to share, feel free to add them here - it’s always helpful!

Thanks for your patience and for bringing this to our attention.

---
> For *INTERNAL* use only: [GHC-9058](https://linear.app/n8n/issue/GHC-9058)

--- COMMENT ---

Could not replicate the issue in 2.32.3. Any step that you might have missed in how to reproduce the issue? 

<img width=""800"" height=""438"" alt=""Image"" src=""https://github.com/user-attachments/assets/8bd53bd2-4a6d-4716-9f29-2995762eb098"" />

--- COMMENT ---

Hi, thanks for your reply.
The issue doesn't occur with the Postgres Trigger node. Instead, it happens with the Postgres node when selecting rows from the database or running a query. I've attached a video to show the issue.

https://github.com/user-attachments/assets/a037c1a6-f865-4131-85a4-fafe595461ab",3,1,alternative_method,,,,,,,,,,
NS-0010,n8n-io/n8n,34531,https://github.com/n8n-io/n8n/issues/34531,help me debug -my workflow project,"TITLE:
help me debug -my workflow project

ISSUE DESCRIPTION:
<!-- Please follow the template below. Skip the questions that are not relevant to you. -->

## Describe the problem/error/question
Am trying to debug my workflow and getting errors -

## What is the error message (if any)?

## Please share your workflow/screenshots/recording

```
(Select the nodes on your canvas and use the keyboard shortcuts CMD+C/CTRL+C and CMD+V/CTRL+V to copy and paste the workflow.)
⚠️ WARNING ⚠️ If you have sensitive data in your workflow (like API keys), please remove it before sharing.
```

## Share the output returned by the last node
<!-- If you need help with data transformations, please also share your expected output. -->

## Debug info

### core

- n8nVersion: 2.30.7
- platform: docker (cloud)
- nodeJsVersion: 24.16.0
- nodeEnv: production
- database: sqlite
- executionMode: regular
- concurrency: 5
- license: enterprise (sandbox)

### storage

- success: all
- error: all
- progress: false
- manual: true
- binaryMode: filesystem

### pruning

- enabled: true
- maxAge: 168 hours
- maxCount: 2500 executions

### client

- userAgent: mozilla/5.0 (windows nt 10.0; win64; x64) applewebkit/537.36 (khtml, like gecko) chrome/150.0.0.0 safari/537.36 edg/150.0.0.0
- isTouchDevice: false

Generated at: 2026-07-20T06:19:17.846Z",1,0,,,,,,,,,,,
